Text,Label
Je voudrais acheter un nouveau téléphone.,Achat
Quels sont vos forfaits disponibles ?,Achat
Est-ce que vous avez des promotions sur les smartphones ?,Achat
J'ai besoin d'un chargeur pour mon téléphone.,Achat
Quels sont les derniers modèles de téléphones disponibles ?,Achat
Je cherche un téléphone avec une bonne caméra.,Achat
Je veux acheter une tablette.,Achat
Est-ce que vous avez des écouteurs sans fil ?,Achat
Je voudrais changer de forfait.,Achat
Avez-vous des accessoires pour iPhone ?,Achat
Est-ce que vous vendez des coques de protection ?,Achat
J'ai besoin d'une carte SIM.,Achat
Quels sont les prix des téléphones Samsung ?,Achat
Pouvez-vous me montrer les téléphones Huawei ?,Achat
J'aimerais acheter un téléphone avec un grand écran.,Achat
Est-ce que vous avez des réductions pour les étudiants ?,Achat
J'aimerais renouveler mon téléphone.,Achat
Quels sont les téléphones les plus populaires en ce moment ?,Achat
Est-ce que je peux échanger mon ancien téléphone ?,Achat
Avez-vous des tablettes en stock ?,Achat
J'aimerais acheter un téléphone avec une grande autonomie.,Achat
Quels accessoires recommandez-vous pour un iPhone 12 ?,Achat
Est-ce que vous avez des câbles de recharge rapide ?,Achat
Quels sont les avantages de vos forfaits ?,Achat
Je cherche un téléphone pour jouer à des jeux.,Achat
Pouvez-vous me conseiller un bon téléphone pour les photos ?,Achat
Avez-vous des écouteurs avec réduction de bruit ?,Achat
Quels sont les téléphones disponibles en précommande ?,Achat
J'aimerais acheter un téléphone avec une bonne résolution d'écran.,Achat
Est-ce que vous avez des promotions pour le Black Friday ?,Achat
J'aimerais connaître les options de financement pour un nouveau téléphone.,Achat
Avez-vous des téléphones reconditionnés ?,Achat
Pouvez-vous me montrer les téléphones les moins chers ?,Achat
Je cherche un téléphone robuste pour le travail.,Achat
Est-ce que vous vendez des montres connectées ?,Achat
J'ai besoin d'un adaptateur pour mon téléphone.,Achat
Quels sont les meilleurs téléphones pour la vidéo ?,Achat
Pouvez-vous m'aider à choisir un téléphone pour un cadeau ?,Achat
Avez-vous des réductions pour les nouveaux clients ?,Achat
Je voudrais acheter un téléphone avec une grande capacité de stockage.,Achat
Est-ce que vous avez des téléphones waterproof ?,Achat
Quels sont les avantages d'un abonnement chez vous ?,Achat
Je cherche un téléphone compatible 5G.,Achat
Avez-vous des stations de charge sans fil ?,Achat
Pouvez-vous me montrer les options de forfaits internationaux ?,Achat
J'aimerais acheter un téléphone avec une bonne batterie.,Achat
Est-ce que vous avez des promotions pour Noël ?,Achat
Quels sont les téléphones recommandés pour les adolescents ?,Achat
Avez-vous des offres spéciales pour les familles ?,Achat
J'aimerais acheter un téléphone avec un écran incassable.,Achat
Est-ce que vous vendez des protections d'écran ?,Achat
Je cherche un téléphone avec un bon rapport qualité-prix.,Achat
Pouvez-vous me conseiller un téléphone pour les voyages ?,Achat
Avez-vous des réductions pour les seniors ?,Achat
J'aimerais acheter un téléphone avec un bon son.,Achat
Quels sont les avantages de vos abonnements premium ?,Achat
Avez-vous des promotions pour les fêtes de fin d'année ?,Achat
Pouvez-vous me montrer les options de téléphones pour enfants ?,Achat
Je voudrais acheter un téléphone avec un design élégant.,Achat
